Benbow_id	GI	NR_of_Genes	ATB_id	contig	containing_Genes	start	end	Strain	species_sylph	path
NC_007946.1	GI_5	11	SAMN28207877	SAMN28207877.contig00024	11	530	13392	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.436/SAMN28207877.fa.gz
NC_007946.1	GI_5	11	SAMN16181016	SAMN16181016.contig00015	11	97956	110818	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.531/SAMN16181016.fa.gz
NC_007946.1	GI_6	6	SAMN21582559	SAMN21582559.contig00023	6	18051	22878	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.425/SAMN21582559.fa.gz
NC_007946.1	GI_6	6	SAMN28176155	SAMN28176155.contig00023	6	38407	43234	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.436/SAMN28176155.fa.gz
NC_007946.1	GI_6	6	SAMN26441766	SAMN26441766.contig00022	6	18224	23051	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.433/SAMN26441766.fa.gz
NC_007946.1	GI_6	6	SAMN26725507	SAMN26725507.contig00029	6	18067	22894	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.433/SAMN26725507.fa.gz
NC_007946.1	GI_7	3	SAMN29335023	SAMN29335023.contig00031	3	9137	13629	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.438/SAMN29335023.fa.gz
NC_007946.1	GI_7	3	SAMN08167605	SAMN08167605.contig00033	3	9137	13629	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.485/SAMN08167605.fa.gz
NC_007946.1	GI_7	3	SAMN07610164	SAMN07610164.contig00012	3	78811	83299	Escherichia coli UTI89	Enterobacter hormaechei_A	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.156/SAMN07610164.fa.gz
NC_007946.1	GI_8	8	SAMN20218120	SAMN20218120.contig00001	8	407076	416067	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.421/SAMN20218120.fa.gz
NC_007946.1	GI_8	8	SAMN39681354	SAMN39681354.contig00001	8	407076	416067	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.168/SAMN39681354.fa.gz
NC_007946.1	GI_9	15	SAMN17393555	SAMN17393555.contig00010	12	152495	158507	Escherichia coli UTI89	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN17393555.fa.gz
NC_007946.1	GI_9	15	SAMEA1486400	SAMEA1486400.contig00003	12	267864	274394	Escherichia coli UTI89	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMEA1486400.fa.gz
NC_007946.1	GI_9	15	SAMN15568299	SAMN15568299.contig00010	14	29569	67672	Escherichia coli UTI89	Mycobacterium tuberculosis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.361/SAMN15568299.fa.gz
NC_007946.1	GI_9	15	SAMN12707628	SAMN12707628.contig00015	14	29571	67674	Escherichia coli UTI89	Mycobacterium tuberculosis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.360/SAMN12707628.fa.gz
NC_007946.1	GI_9	15	SAMN07203318	SAMN07203318.contig00012	14	29539	67642	Escherichia coli UTI89	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.479/SAMN07203318.fa.gz
NC_004578.1	GI_0	4	SAMN39905136	SAMN39905136.contig00051	4	32020	39198	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN39905136.fa.gz
NC_004578.1	GI_0	4	SAMN34299714	SAMN34299714.contig00059	4	31988	39166	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299714.fa.gz
NC_004578.1	GI_0	4	SAMN35826711	SAMN35826711.contig00061	4	51	7229	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826711.fa.gz
NC_004578.1	GI_0	4	SAMN35826674	SAMN35826674.contig00060	4	31977	39155	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826674.fa.gz
NC_004578.1	GI_10	3	SAMN34299711	SAMN34299711.contig00002	3	193235	197295	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299711.fa.gz
NC_004578.1	GI_10	3	SAMN35826702	SAMN35826702.contig00001	3	27271	31331	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826702.fa.gz
NC_004578.1	GI_10	3	SAMN12869242	SAMN12869242.contig00002	3	27411	31471	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN12869242.fa.gz
NC_004578.1	GI_11	5	SAMN34299719	SAMN34299719.contig00062	5	16845	21128	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299719.fa.gz
NC_004578.1	GI_11	5	SAMN35826708	SAMN35826708.contig00001	5	16916	21199	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826708.fa.gz
NC_004578.1	GI_11	5	SAMN35826677	SAMN35826677.contig00001	5	16851	21134	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826677.fa.gz
NC_004578.1	GI_11	5	SAMN35826669	SAMN35826669.contig00001	5	203357	207640	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826669.fa.gz
NC_004578.1	GI_13	3	SAMEA114325471	SAMEA114325471.contig00005	3	23244	73237	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas aeruginosa	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.145/SAMEA114325471.fa.gz
NC_004578.1	GI_13	3	SAMEA2175136	SAMEA2175136.contig00011	3	39982	101570	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas aeruginosa	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.395/SAMEA2175136.fa.gz
NC_004578.1	GI_13	3	SAMN41150853	SAMN41150853.contig00001	3	405298	479173	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas aeruginosa	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.147/SAMN41150853.fa.gz
NC_004578.1	GI_13	3	SAMEA114325480	SAMEA114325480.contig00005	3	23244	73237	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas aeruginosa	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.145/SAMEA114325480.fa.gz
NC_004578.1	GI_13	3	SAMN20750489	SAMN20750489.contig00001	3	61552	222966	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750489.fa.gz
NC_004578.1	GI_15	10	SAMEA7501929	SAMEA7501929.contig00006	8	67605	77157	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E marginalis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.405/SAMEA7501929.fa.gz
NC_004578.1	GI_15	10	SAMN11129454	SAMN11129454.contig00087	9	12580	22417	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN11129454.fa.gz
NC_004578.1	GI_15	10	SAMN28815266	SAMN28815266.contig00006	9	330464	340017	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E marginalis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.405/SAMN28815266.fa.gz
NC_004578.1	GI_15	10	SAMN12618650	SAMN12618650.contig00086	9	815	10652	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN12618650.fa.gz
NC_004578.1	GI_15	10	SAMN11129516	SAMN11129516.contig00087	9	815	10652	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN11129516.fa.gz
NC_004578.1	GI_16	4	SAMN34299723	SAMN34299723.contig00057	4	17652	20431	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299723.fa.gz
NC_004578.1	GI_16	4	SAMN03460427	SAMN03460427.contig00018	4	19335	22114	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN03460427.fa.gz
NC_004578.1	GI_16	4	SAMN05421552	SAMN05421552.contig00003	4	66142	68921	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN05421552.fa.gz
NC_004578.1	GI_17	7	SAMN35826709	SAMN35826709.contig00058	7	22876	28787	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826709.fa.gz
NC_004578.1	GI_17	7	SAMN35826682	SAMN35826682.contig00058	7	10927	16838	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826682.fa.gz
NC_004578.1	GI_17	7	SAMN00752557	SAMN00752557.contig00055	7	12484	18395	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN00752557.fa.gz
NC_004578.1	GI_17	7	SAMN20750491	SAMN20750491.contig00038	7	33564	39475	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750491.fa.gz
NC_004578.1	GI_17	7	SAMN25409888	SAMN25409888.contig00009	7	63971	69893	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E syringae_M	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.134/SAMN25409888.fa.gz
NC_004578.1	GI_18	4	SAMN35826707	SAMN35826707.contig00058	4	29564	35133	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826707.fa.gz
NC_004578.1	GI_18	4	SAMN35826713	SAMN35826713.contig00058	4	4581	10150	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826713.fa.gz
NC_004578.1	GI_20	4	SAMN35826686	SAMN35826686.contig00081	5	2912	8692	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826686.fa.gz
NC_004578.1	GI_20	4	SAMN35826665	SAMN35826665.contig00081	5	2912	8692	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826665.fa.gz
NC_004578.1	GI_20	4	SAMN35826663	SAMN35826663.contig00082	5	2912	8692	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826663.fa.gz
NC_004578.1	GI_21	8	SAMN20750486	SAMN20750486.contig00011	7	181119	188996	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750486.fa.gz
NC_004578.1	GI_21	8	SAMN20750498	SAMN20750498.contig00006	7	180428	188305	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750498.fa.gz
NC_004578.1	GI_22	5	SAMN04943024	SAMN04943024.contig00045	5	13567	21551	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN04943024.fa.gz
NC_004578.1	GI_22	5	SAMN34299726	SAMN34299726.contig00002	5	164802	172786	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299726.fa.gz
NC_004578.1	GI_22	5	SAMN35826660	SAMN35826660.contig00002	5	164802	172786	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826660.fa.gz
NC_004578.1	GI_23	5	SAMN35826712	SAMN35826712.contig00002	5	114617	119809	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826712.fa.gz
NC_004578.1	GI_23	5	SAMN35826713	SAMN35826713.contig00002	5	61567	66759	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826713.fa.gz
NC_004578.1	GI_23	5	SAMN20750482	SAMN20750482.contig00010	5	71299	76491	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750482.fa.gz
NC_004578.1	GI_23	5	SAMN34068135	SAMN34068135.contig00004	5	105320	110512	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34068135.fa.gz
NC_004578.1	GI_23	5	SAMN34299710	SAMN34299710.contig00001	5	171529	176721	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299710.fa.gz
NC_004578.1	GI_24	5	SAMN11129433	SAMN11129433.contig00003	5	32386	41642	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN11129433.fa.gz
NC_004578.1	GI_24	5	SAMN11129417	SAMN11129417.contig00004	5	32386	41642	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN11129417.fa.gz
NC_004578.1	GI_24	5	SAMN39905139	SAMN39905139.contig00045	5	1644	10875	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E amygdali	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN39905139.fa.gz
NC_004578.1	GI_25	8	SAMN04943048	SAMN04943048.contig00014	8	58611	67588	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN04943048.fa.gz
NC_004578.1	GI_25	8	SAMN17147680	SAMN17147680.contig00005	8	33190	42167	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN17147680.fa.gz
NC_004578.1	GI_27	6	SAMN34299727	SAMN34299727.contig00041	6	9219	13601	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299727.fa.gz
NC_004578.1	GI_27	6	SAMN35826684	SAMN35826684.contig00041	6	9219	13601	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826684.fa.gz
NC_004578.1	GI_27	6	SAMN34299712	SAMN34299712.contig00041	6	9219	13601	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299712.fa.gz
NC_004578.1	GI_27	6	SAMN35826661	SAMN35826661.contig00041	7	43215	53494	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826661.fa.gz
NC_004578.1	GI_27	6	SAMN05821323	SAMN05821323.contig00020	7	65435	74472	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN05821323.fa.gz
NC_004578.1	GI_28	9	SAMN35826710	SAMN35826710.contig00040	9	28367	40984	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826710.fa.gz
NC_004578.1	GI_28	9	SAMN35826713	SAMN35826713.contig00041	9	15832	28449	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826713.fa.gz
NC_004578.1	GI_29	7	SAMN35826668	SAMN35826668.contig00041	7	35223	47671	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826668.fa.gz
NC_004578.1	GI_29	7	SAMN20750482	SAMN20750482.contig00005	7	71113	83557	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750482.fa.gz
NC_004578.1	GI_29	7	SAMN38338177	SAMN38338177.contig00007	7	131449	145980	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E syringae_M	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN38338177.fa.gz
NC_004578.1	GI_3	5	SAMN35826710	SAMN35826710.contig00087	4	18913	21735	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826710.fa.gz
NC_004578.1	GI_3	5	SAMN17147680	SAMN17147680.contig00010	5	107158	112020	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN17147680.fa.gz
NC_004578.1	GI_30	8	SAMN04943034	SAMN04943034.contig00017	8	74523	83970	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN04943034.fa.gz
NC_004578.1	GI_30	8	SAMN35826668	SAMN35826668.contig00005	8	41403	50848	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826668.fa.gz
NC_004578.1	GI_32	4	SAMN35826709	SAMN35826709.contig00046	5	390	6641	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826709.fa.gz
NC_004578.1	GI_32	4	SAMN04943000	SAMN04943000.contig00508	4	394	2353	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN04943000.fa.gz
NC_004578.1	GI_33	3	SAMN35826705	SAMN35826705.contig00013	3	36044	39720	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826705.fa.gz
NC_004578.1	GI_33	3	SAMN35826679	SAMN35826679.contig00010	3	36045	39721	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826679.fa.gz
NC_004578.1	GI_34	11	SAMN34299724	SAMN34299724.contig00010	12	18824	26504	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN34299724.fa.gz
NC_004578.1	GI_34	11	SAMN20750488	SAMN20750488.contig00008	11	181090	188770	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMN20750488.fa.gz
NC_004578.1	GI_36	5	SAMN35826668	SAMN35826668.contig00007	5	2103	6746	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826668.fa.gz
NC_004578.1	GI_36	5	SAMEA112361238	SAMEA112361238.contig00027	4	66343	69243	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.403/SAMEA112361238.fa.gz
NC_004578.1	GI_36	5	SAMN35826695	SAMN35826695.contig00007	5	125239	129882	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826695.fa.gz
NC_004578.1	GI_36	5	SAMN35826696	SAMN35826696.contig00006	5	2103	6746	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826696.fa.gz
NC_004578.1	GI_36	5	SAMN35826706	SAMN35826706.contig00007	5	2103	6746	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas_E avellanae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.51/SAMN35826706.fa.gz
